                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96325,                 1.2594,                 1.2324,                0.81026,                0.84071,                 0.8727,                0.50245,                    nan,                    nan,                    nan,             0.00066433,             0.00066433,             0.00066433
                      2,                 1.0224,                0.97839,                 1.2312,                0.95072,                0.82301,                0.89609,                0.59322,                    nan,                    nan,                    nan,              0.0012783,              0.0012783,              0.0012783
                      3,                 1.0094,                0.89123,                 1.2347,                0.92324,                0.85159,                0.91195,                 0.6388,                    nan,                    nan,                    nan,              0.0018394,              0.0018394,              0.0018394
                      4,                0.99255,                0.81853,                 1.2056,                0.89257,                0.88233,                0.89564,                 0.6186,                    nan,                    nan,                    nan,              0.0017624,              0.0017624,              0.0017624
                      5,                0.94079,                0.76249,                 1.1688,                0.85941,                0.90265,                0.91722,                0.52173,                    nan,                    nan,                    nan,              0.0016832,              0.0016832,              0.0016832
                      6,                0.94601,                0.71321,                 1.1698,                0.94514,                0.86726,                0.90525,                 0.6205,                    nan,                    nan,                    nan,               0.001604,               0.001604,               0.001604
                      7,                0.87684,                0.65643,                 1.1431,                0.90052,                0.89381,                 0.8907,                0.59934,                    nan,                    nan,                    nan,              0.0015248,              0.0015248,              0.0015248
                      8,                0.86677,                0.63807,                 1.1307,                0.98969,                0.84942,                0.90475,                 0.5673,                    nan,                    nan,                    nan,              0.0014456,              0.0014456,              0.0014456
                      9,                0.85728,                0.63268,                 1.1291,                0.91047,                0.89996,                0.91876,                0.55847,                    nan,                    nan,                    nan,              0.0013664,              0.0013664,              0.0013664
                     10,                0.79926,                0.58761,                 1.1016,                0.91374,                0.84372,                0.90217,                0.61331,                    nan,                    nan,                    nan,              0.0012872,              0.0012872,              0.0012872
                     11,                0.78734,                0.54772,                 1.0893,                 0.9172,                0.88231,                0.91328,                0.63438,                    nan,                    nan,                    nan,               0.001208,               0.001208,               0.001208
                     12,                0.77156,                0.54706,                 1.0916,                0.95241,                0.87611,                0.88876,                0.60064,                    nan,                    nan,                    nan,              0.0011288,              0.0011288,              0.0011288
                     13,                 0.7477,                0.52612,                 1.0854,                0.87917,                 0.9115,                0.88928,                0.61567,                    nan,                    nan,                    nan,              0.0010496,              0.0010496,              0.0010496
                     14,                0.77225,                0.53506,                 1.0797,                0.90691,                0.88496,                0.90996,                0.59974,                    nan,                    nan,                    nan,              0.0009704,              0.0009704,              0.0009704
                     15,                0.73197,                0.52197,                 1.0743,                0.88674,                0.90069,                0.92081,                0.63554,                    nan,                    nan,                    nan,              0.0008912,              0.0008912,              0.0008912
                     16,                 0.6293,                0.41876,                 1.0236,                 0.9488,                0.84956,                0.92965,                0.61713,                    nan,                    nan,                    nan,               0.000812,               0.000812,               0.000812
                     17,                0.60947,                0.42741,                 1.0062,                0.91633,                0.89381,                0.91785,                0.61745,                    nan,                    nan,                    nan,              0.0007328,              0.0007328,              0.0007328
                     18,                  0.586,                0.44082,                0.98871,                0.91943,                0.90888,                0.93608,                0.60718,                    nan,                    nan,                    nan,              0.0006536,              0.0006536,              0.0006536
                     19,                0.58739,                 0.4195,                 1.0008,                0.90983,                0.89381,                0.91942,                0.61548,                    nan,                    nan,                    nan,              0.0005744,              0.0005744,              0.0005744
                     20,                0.57439,                0.35987,                0.98608,                0.90214,                0.89741,                0.92036,                0.65147,                    nan,                    nan,                    nan,              0.0004952,              0.0004952,              0.0004952
                     21,                0.54829,                0.34668,                0.96856,                0.90895,                0.90265,                0.93883,                0.65035,                    nan,                    nan,                    nan,               0.000416,               0.000416,               0.000416
                     22,                0.53092,                0.32467,                0.94779,                  0.926,                0.88588,                 0.9403,                0.64085,                    nan,                    nan,                    nan,              0.0003368,              0.0003368,              0.0003368
                     23,                0.52551,                0.31838,                0.95708,                0.98025,                0.87856,                0.94301,                0.67627,                    nan,                    nan,                    nan,              0.0002576,              0.0002576,              0.0002576
                     24,                0.50996,                0.30659,                0.96351,                0.94105,                0.89381,                0.93374,                0.65448,                    nan,                    nan,                    nan,              0.0001784,              0.0001784,              0.0001784
                     25,                0.48642,                0.29288,                0.93307,                0.94256,                0.87131,                0.94139,                0.64564,                    nan,                    nan,                    nan,               9.92e-05,               9.92e-05,               9.92e-05
